date,oil_price,is_holiday
01/01/2015,52.32,1
02/01/2015,55.38,0
03/01/2015,52.32,0
04/01/2015,52.32,0
05/01/2015,51.08,0
06/01/2015,50.12,0
07/01/2015,49.06,0
08/01/2015,49.43,0
09/01/2015,47.64,0
10/01/2015,52.32,0
11/01/2015,52.32,0
12/01/2015,46.9,0
13/01/2015,45.13,0
14/01/2015,45.82,0
15/01/2015,47.66,0
16/01/2015,47.38,0
17/01/2015,52.32,0
18/01/2015,52.32,0
19/01/2015,52.32,1
20/01/2015,46.49,0
21/01/2015,46.5,0
22/01/2015,46.09,0
23/01/2015,46.69,0
24/01/2015,52.32,0
25/01/2015,52.32,0
26/01/2015,46.07,0
27/01/2015,46.55,0
28/01/2015,47.07,0
29/01/2015,46.61,0
30/01/2015,47.52,0
31/01/2015,52.32,0
01/02/2015,52.32,0
02/02/2015,51.74,0
03/02/2015,54.41,0
04/02/2015,55.07,0
05/02/2015,55.98,0
06/02/2015,55.88,0
07/02/2015,52.32,0
08/02/2015,52.32,0
09/02/2015,57.0,0
10/02/2015,55.79,0
11/02/2015,53.48,0
12/02/2015,56.23,0
13/02/2015,60.33,0
14/02/2015,52.32,0
15/02/2015,52.32,0
16/02/2015,61.57,1
17/02/2015,60.78,0
18/02/2015,60.72,0
19/02/2015,58.78,0
20/02/2015,60.99,0
21/02/2015,52.32,0
22/02/2015,52.32,0
23/02/2015,59.78,0
24/02/2015,60.33,0
25/02/2015,59.77,0
26/02/2015,61.39,0
27/02/2015,61.89,0
28/02/2015,52.32,0
01/03/2015,52.32,0
02/03/2015,60.75,0
03/03/2015,61.18,0
04/03/2015,59.18,0
05/03/2015,60.33,0
06/03/2015,59.15,0
07/03/2015,52.32,0
08/03/2015,52.32,0
09/03/2015,58.67,0
10/03/2015,55.95,0
11/03/2015,56.46,0
12/03/2015,56.66,0
13/03/2015,54.8,0
14/03/2015,52.32,0
15/03/2015,52.32,0
16/03/2015,52.0,0
17/03/2015,52.17,0
18/03/2015,52.59,0
19/03/2015,52.96,0
20/03/2015,53.88,0
21/03/2015,52.32,0
22/03/2015,52.32,0
23/03/2015,53.82,0
24/03/2015,53.61,0
25/03/2015,54.18,0
26/03/2015,57.02,0
27/03/2015,56.44,0
28/03/2015,52.32,0
29/03/2015,52.32,0
30/03/2015,53.99,0
31/03/2015,53.69,0
01/04/2015,55.73,0
02/04/2015,55.73,0
03/04/2015,52.32,0
04/04/2015,52.32,0
05/04/2015,52.32,0
06/04/2015,55.73,0
07/04/2015,57.55,0
08/04/2015,56.42,0
09/04/2015,56.04,0
10/04/2015,56.82,0
11/04/2015,52.32,0
12/04/2015,52.32,0
13/04/2015,57.14,0
14/04/2015,57.69,0
15/04/2015,59.32,0
16/04/2015,60.13,0
17/04/2015,61.31,0
18/04/2015,52.32,0
19/04/2015,52.32,0
20/04/2015,61.2,0
21/04/2015,60.12,0
22/04/2015,60.12,0
23/04/2015,62.66,0
24/04/2015,62.96,0
25/04/2015,52.32,0
26/04/2015,52.32,0
27/04/2015,62.86,0
28/04/2015,62.61,0
29/04/2015,63.97,0
30/04/2015,63.9,0
01/05/2015,64.13,0
02/05/2015,52.32,0
03/05/2015,52.32,0
04/05/2015,64.62,0
05/05/2015,65.44,0
06/05/2015,66.22,0
07/05/2015,64.93,0
08/05/2015,63.82,0
09/05/2015,52.32,0
10/05/2015,52.32,0
11/05/2015,62.82,0
12/05/2015,65.09,0
13/05/2015,66.33,0
14/05/2015,65.58,0
15/05/2015,64.69,0
16/05/2015,52.32,0
17/05/2015,52.32,0
18/05/2015,65.15,0
19/05/2015,63.48,0
20/05/2015,63.52,0
21/05/2015,64.7,0
22/05/2015,64.7,0
23/05/2015,52.32,0
24/05/2015,52.32,0
25/05/2015,52.32,1
26/05/2015,61.65,0
27/05/2015,61.35,0
28/05/2015,60.12,0
29/05/2015,63.16,0
30/05/2015,52.32,0
31/05/2015,52.32,0
01/06/2015,62.87,0
02/06/2015,63.14,0
03/06/2015,62.78,0
04/06/2015,60.34,0
05/06/2015,60.36,0
06/06/2015,52.32,0
07/06/2015,52.32,0
08/06/2015,61.33,0
09/06/2015,63.23,0
10/06/2015,64.68,0
11/06/2015,63.76,0
12/06/2015,63.19,0
13/06/2015,52.32,0
14/06/2015,52.32,0
15/06/2015,60.99,0
16/06/2015,60.75,0
17/06/2015,60.75,0
18/06/2015,61.37,0
19/06/2015,59.41,0
20/06/2015,52.32,0
21/06/2015,52.32,0
22/06/2015,60.54,0
23/06/2015,61.67,0
24/06/2015,61.63,0
25/06/2015,60.24,0
26/06/2015,60.14,0
27/06/2015,52.32,0
28/06/2015,52.32,0
29/06/2015,59.03,0
30/06/2015,60.31,0
01/07/2015,61.65,0
02/07/2015,61.73,0
03/07/2015,59.06,1
04/07/2015,52.32,1
05/07/2015,52.32,0
06/07/2015,57.19,0
07/07/2015,54.72,0
08/07/2015,55.7,0
09/07/2015,57.83,0
10/07/2015,57.72,0
11/07/2015,52.32,0
12/07/2015,52.32,0
13/07/2015,57.63,0
14/07/2015,57.2,0
15/07/2015,57.34,0
16/07/2015,57.31,0
17/07/2015,56.38,0
18/07/2015,52.32,0
19/07/2015,52.32,0
20/07/2015,56.42,0
21/07/2015,55.94,0
22/07/2015,56.36,0
23/07/2015,55.76,0
24/07/2015,54.29,0
25/07/2015,52.32,0
26/07/2015,52.32,0
27/07/2015,54.07,0
28/07/2015,54.3,0
29/07/2015,54.73,0
30/07/2015,54.29,0
31/07/2015,53.29,0
01/08/2015,52.32,0
02/08/2015,52.32,0
03/08/2015,49.49,0
04/08/2015,49.08,0
05/08/2015,49.04,0
06/08/2015,47.8,0
07/08/2015,47.54,0
08/08/2015,52.32,0
09/08/2015,52.32,0
10/08/2015,48.3,0
11/08/2015,47.33,0
12/08/2015,48.29,0
13/08/2015,48.01,0
14/08/2015,47.79,0
15/08/2015,52.32,0
16/08/2015,52.32,0
17/08/2015,47.77,0
18/08/2015,47.0,0
19/08/2015,45.75,0
20/08/2015,45.63,0
21/08/2015,43.84,0
22/08/2015,52.32,0
23/08/2015,52.32,0
24/08/2015,41.59,0
25/08/2015,41.86,0
26/08/2015,41.76,0
27/08/2015,44.46,0
28/08/2015,47.97,0
29/08/2015,52.32,0
30/08/2015,52.32,0
31/08/2015,52.32,0
01/09/2015,48.8,0
02/09/2015,47.67,0
03/09/2015,50.41,0
04/09/2015,48.59,0
05/09/2015,52.32,0
06/09/2015,52.32,0
07/09/2015,46.42,1
08/09/2015,48.88,0
09/09/2015,48.04,0
10/09/2015,47.77,0
11/09/2015,46.87,0
12/09/2015,52.32,0
13/09/2015,52.32,0
14/09/2015,45.87,0
15/09/2015,45.91,0
16/09/2015,49.35,0
17/09/2015,48.27,0
18/09/2015,47.28,0
19/09/2015,52.32,0
20/09/2015,52.32,0
21/09/2015,47.64,0
22/09/2015,46.69,0
23/09/2015,48.0,0
24/09/2015,47.06,0
25/09/2015,47.28,0
26/09/2015,52.32,0
27/09/2015,52.32,0
28/09/2015,46.04,0
29/09/2015,47.58,0
30/09/2015,47.29,0
01/10/2015,47.48,0
02/10/2015,46.55,0
03/10/2015,52.32,0
04/10/2015,52.32,0
05/10/2015,49.45,0
06/10/2015,51.34,0
07/10/2015,51.66,0
08/10/2015,52.13,0
09/10/2015,52.08,0
10/10/2015,52.32,0
11/10/2015,52.32,0
12/10/2015,50.95,1
13/10/2015,48.94,0
14/10/2015,48.25,0
15/10/2015,47.87,0
16/10/2015,48.96,0
17/10/2015,52.32,0
18/10/2015,52.32,0
19/10/2015,47.51,0
20/10/2015,46.93,0
21/10/2015,46.72,0
22/10/2015,46.59,0
23/10/2015,46.3,0
24/10/2015,52.32,0
25/10/2015,52.32,0
26/10/2015,46.57,0
27/10/2015,45.54,0
28/10/2015,47.6,0
29/10/2015,48.04,0
30/10/2015,48.0,0
31/10/2015,52.32,0
01/11/2015,52.32,0
02/11/2015,47.91,0
03/11/2015,48.0,0
04/11/2015,46.96,0
05/11/2015,47.19,0
06/11/2015,46.09,0
07/11/2015,52.32,0
08/11/2015,52.32,0
09/11/2015,45.38,0
10/11/2015,46.44,0
11/11/2015,44.98,1
12/11/2015,44.98,0
13/11/2015,41.98,0
14/11/2015,52.32,0
15/11/2015,52.32,0
16/11/2015,40.28,0
17/11/2015,41.28,0
18/11/2015,41.45,0
19/11/2015,42.22,0
20/11/2015,42.49,0
21/11/2015,52.32,0
22/11/2015,52.32,0
23/11/2015,43.7,0
24/11/2015,44.38,0
25/11/2015,43.56,0
26/11/2015,43.55,1
27/11/2015,43.07,0
28/11/2015,52.32,0
29/11/2015,52.32,0
30/11/2015,43.73,0
01/12/2015,42.97,0
02/12/2015,41.92,0
03/12/2015,42.0,0
04/12/2015,41.44,0
05/12/2015,52.32,0
06/12/2015,52.32,0
07/12/2015,39.69,0
08/12/2015,39.44,0
09/12/2015,39.04,0
10/12/2015,38.65,0
11/12/2015,36.99,0
12/12/2015,52.32,0
13/12/2015,52.32,0
14/12/2015,36.51,0
15/12/2015,37.66,0
16/12/2015,36.96,0
17/12/2015,36.29,0
18/12/2015,36.76,0
19/12/2015,52.32,0
20/12/2015,52.32,0
21/12/2015,35.34,0
22/12/2015,35.26,0
23/12/2015,35.79,0
24/12/2015,37.22,0
25/12/2015,52.32,1
26/12/2015,52.32,0
27/12/2015,52.32,0
28/12/2015,37.08,0
29/12/2015,36.85,0
30/12/2015,35.65,0
31/12/2015,36.61,0
